report_number,title,incident_date,place   ,governorate,city/town,addess/description,description,categories,location,reporter_state,gender_harassed,age_harassed,age_reporter,age_harasser,intervention,incident_place_type,edu_harassed,edu_reporter,report_date_time
1285,Sexual Harassment,06/22/2013 0:34,El Kournish,,,El Kournish,Sexual Harassment,"Catcalls,Comments,Facial expressions,Ogling","15,616621,14,973196",,Man,Above 46,,,Yes,,Did not go to school,,06/22/2013 0:39
1284,Sexual Harassment,06/22/2013 0:24,"Sekt Rateb Basha, el Darb el Ahmar",Cairo,Cairo,"Sekt Rateb Basha, el Darb el Ahmar",Singing and following while showing of in front of his 2 friends who were laughing,"Catcalls,Comments,Ogling","15,019368,15,625552",,Man,Above 46,,,Yes,,Did not go to school,,06/22/2013 0:33
1283,Middle finger sign,06/21/2013 23:14,"Al Labeini, Al Haraneyah, Giza, Egypt",Giza,Giza,"Al Labeini, Al Haraneyah",Middle finger sign,Facial expressions,"29,970279,31,177034",,Man,,,,Yes,,Did not go to school,,06/22/2013 0:24
1282,Harassment by Riot Police in Zamalek,06/20/2013 1:53,Hassan Sabry St. opposite Dutch Embassy,Cairo,Cairo,Hassan Sabry St. opposite Dutch Embassy,A truck of riot police men in black uniform passed me when I was walking home from work and two of the police men stared at me and made comments from the truck.,"Comments,Ogling","30,058694,31,221471",,Man,Above 46,,,Yes,,Did not go to school,,06/20/2013 8:57
1281,Staring and comments in Zamalek,06/19/2013 16:45,Zamalek,Cairo,Cairo,Zamalek,Two guys staring at me and making comments while I was walking. It happens every day when I go back home from work.,"Comments,Ogling","30,0607,31,221514",,Man,Above 46,,,Yes,,Did not go to school,,06/20/2013 8:48
1280,3arabeyya feeha 3 aw 4 shabab,06/16/2013 15:00,"رقم 9، Cairo Governorate, Egypt",Cairo,Cairo,3arabeyya feeha 3 aw 4 shabab,"Ana w sa7bety qarrarna embareh (El7ad) nenzel nebset el nas w nfarra7hom, fa lawena banners w katabna ""Elgaw 7elw welyoum yesta7e2 2ebtesmtk. w Free hugs"" kanet kol neyyetna safya. el nas ya2emma yestaghrabo w yemsho mn sokat, ya2emma lw regala y2oulo kalam safel wlw settat y2oulo ""eh da ento betsawwa2o som3t elbalad weldeen, mate2la3o el 7egab a7san!"" west kol da e7na mobtasemeen w n7awel newada7 aw neskot. w west kol da, 11 gom w damma3o mn el far7a, 2atfal w 3awagez w 2ommahat w 2aganeb. le7ad ma gat 3arabeyya feeha 3 aw 4 shabab w 2alo kelma safla le sa7bety. laffeena elne7ya el tanya 2arrabo tany sa2lo: ""e7na malnash 7odn?"" 2olnalo la2 msh lel reggala. seme3t elly saye2 el 3arabeya by2oul ""ana olt mn el2awel enohom yetdaso""! w rege3 bl 3arabeya shewaya w tel3 tany 2oddam w khabat sa7bety fy reglaha mn wara. laffeena leeh w 2a3dt 2a5abat 3ala el kaboot w sa7bety ra7t khabtet bko3ha 3al ezaz ra7 etkasar. Nezel el kan saye2, shadeny mn el tar7a w byshed meny el camera 3ayez yeksarha, nezlt 3ala 2edo 3adeto w sa7bety tedrab feeh w nas te7oush l7ad masab el camera w fasalo mabena. 2olna negeeb el Police w tab3an mabyrodosh w nas teshtem fena w nas tedafe3 3annena w fe shohoud lel tarafeen. 2olt lsa7bty matrakezeesh fy kalamhoum. w fag2a wa7ed malosh 3elaka b2ay 7aga, mogarrad eno metghaz menena, geh w darabny gameed b2edo 3ala sedry. lsa bygry ana za3a2t w 3ayza agry warah, el nas mesket feya w ma3reftsh ageeboh, mashouh! Mashouh w ana mawgo3a.. feen w feen rad el police 2olteloh fe regala betedrabna el 7a2na, geh f3ln bas ektashaft ba3d keda eno kan geh 3ala mokalmet sa7eb el3arabeya mesh e7na! fy el 2a5er gat el 3arabeyya w na2altna lel esm. el fat da koom wl gay kom; mabda2eyan sa7eb el 3arabeya dakhal as7aboh 3ady gedan! lama geh yetkalem ma3ahom zabet 3alashan yemsho, 2alo e7na maba7es! men 3'eer ay dalel, darabolhom ta3zeem salam w gabolhom shay kamman. we7na mo7amy sa7bty kan barra w so7aby, mana3o do5olhom! 2alo lazem el2ab aw el2om! w sa7eb el 3arabeya 2a3d basha, da5alony ana w sa7bty maktab el ma2mor wana kan shebh by3'om 3aa gowa w fawa2t nafsy be maya wl ma2mor kan bytklm be 2adab w bydena mo7adraa fl el2a5la2 w 2alena law ento shabab aw 7atta banat bas be short masalan w sayba sha3rk zay beto3 madares el lycée, kont mashtkom 3ady! Enama ento mo7agabat w da yo3tabar tohma bl ta7reed 3ala el ""Fesq"" . Ento law fy esm tany kano 3amalo ma3ako el mazbout! Fy el2a5er waled sa7bety geh we waldety gat wfy ma7dar w hant3ered 3al neyaba el sob7 (Eletnen 17 Jun.) w rabena youstor 3alashan law ra2es el neyaba dedena feeha 7abs. fa lazem eh? lazem netnazel. la2 w net2asef kamman!!! W Ana mosh ha7ky 3an 2e7sasy.","Catcalls,Comments,Facial expressions,Stalking or following","29,953511,31,26338",,Man,Above 46,,,Yes,,Did not go to school,,06/19/2013 15:18
1279,فى الطريق من عمر للقرية,06/18/2013 19:00,"Ghamra, Cairo Governorate, Egypt",Cairo,Cairo,Ghamra,"انا هاقول اللى حصل
راجعه من الشغل االنهارده الساعه 7
راكبه ميكروباس من غمره نازله على على الاميريه
لقيت واحده لابسه عبايه فى سن مامتى تقريبا بتزعق جامد لواحد قاعد جنبها ....وبتشتمه وعرفت انه كان حاطط ايده على رجليها.... وفضل تزعق والواد فى الاول اتكلم بصوت واطى وبعدين على صوته لما لقى مفيش ولا راجل اتكلم وفى يبجح فيها وانا كنت هاموت من الغيظ لحد ما قاله التباع قوم من هنا يا كابتن اقعد فى مكان تانى روحت جنبها قولتلها ايه اللى حصل هدى نفسك
قالتلى الاول خبطتنى بايده والمره التانيه ببص لقيته حاطط ايده على رجلى اتنرفزت قولتها خلاص متزعليش وانتى اديتله اللى يستاهله جينا نازلين انا وهيا بيبصلها وراح شتمها .بكلمه معاناها انها مش محترمه فضلت هيا تشتم وانا جنبها طلعت موبيلى اصور الواد دا راح مسك موبيلى كسره قدام الناس ومحدش عمل حاجة اللى خلانى اتنفرز انا كمان واعلى صوتى وازعق وكنا هنمسكوا نضربه لاكن الرجاله االلى كانوا موجودين كتر خيرهم....قالولنا بلاش واقصروا الشر .!!!!؟!!! هيا فعلا وصلت لكدا قله ادب محجبه مش محجبه .. انا قررت من النهاردة ان اى حاجة قدامى هتحصل مش هسكت بعدين حتى لو ايه حصل :S",Touching,"30,067055,31,254028",,Man,Above 46,,,Yes,,Did not go to school,,06/19/2013 15:03
1278,Phone harassment,06/14/2013 10:48,"Heliopolis, Cairo Governorate, Egypt",Cairo,Cairo,Heliopolis,"This number called me asking for a Thabet. As soon as I told him he's got the wrong number, he said in a cheerful voice: ""but what a beautiful voice you've got""

I responded by yelling at him, after which he hung up.

The number is: 010084......",Phone calls,"30,093826,31,327944",,Man,Above 46,,,Yes,,Did not go to school,,06/14/2013 10:52
1277,univesity,06/13/2013 1:39,"6th of October City, Giza, Egypt",Giza,Giza,6th of October City,"I'm Foreigner student , Men looks to my body no matter what I'm wearing, I get a lot of rude comments from all ages even young kids. and this is my first report and I'm sure it is not the last","Catcalls,Comments,Facial expressions,Ogling","29,972714,30,9443",,Woman,18-24,,,No,,University/more than university,,06/13/2013 3:58
1276,مشروع على كورنيش البحر,06/12/2013 10:05,طريق الكورنيش - المنشية - بالقرب من ميدان الجندى المجهول,Alexandria,Alexandria,طريق الكورنيش - المنشية - بالقرب من ميدان الجندى المجهول,كنت قاعدة فى مشروع جمب الشباك و فتحاه و المشروع كان واقف بيركب ناس و الشارع كان واقف من الزحمة فجأة واحد كان واقف فى الشارع جمب المشروع مد ايده و مسك صدرى و ملحقتش ابصله حتى لانه طلع يجرى و ملحقتش انزله و دا اللى قهرنى اكتر انى معرفتش اخد حقى منه ..,Touching,"31,19989,29,893992",,Man,Above 46,,,Yes,,Did not go to school,,06/12/2013 10:23
1275,ميدان الحلمية,06/06/2013 19:42,"Ali Basha, El-Darb El-Ahmar, Cairo Governorate, Egypt",Cairo,Cairo,"Ali Basha, El-Darb El-Ahmar","شاب عاكس ست عند ميدان الحلمية
رحتله و بصتله قوي
افتكر اني بكلمه عن العربية اللي كان قاعد عليها. قلتله لا. انا شفتك بتعاكس واحدة. ده غلط و ممكن في يوم تكون اختك يحصلها ده. سكت و بلم و ماقلش حاجة",Comments,"30,037051,31,252474",,Man,,,,Yes,,Did not go to school,,06/11/2013 12:14
1274,تحرش فى CTA 791  (مساكن شيراتون - الجيزة),06/11/2013 1:54,"Cairo, Cairo Governorate, Egypt",Cairo,Cairo,تحرش فى CTA 791  (مساكن شيراتون - الجيزة),"اللى بيركب الباص ده فاهم كويس اللى بتكلم عليه. ببساطة انا فى اربع سنين الكلية حفظت اشكال ما لا يقل عن 10 متحرشين كل اللى بيعملوه انهم يركبوا يتحرشوا وينزلوا فى أماكن مختلفة على حسب عملوا اللى هما عاوزينه وللا لسة. والحمدلله أنا وأصحابى لما بنشوف أى واحد منهم بنفضل باصين عليه علشان مايضايقش البنت اللى قاعدة جنبه، بس لو ده مفرقش معاه مبنسكتش. المتحرشين لما بيركبوا مبيفرقش معاهم اللى قاعدين جمبها محجبة منقبة أو مش محجبة. كل اللى هما محتاجينه هو جسم واحدة هتتكسف وتسكت وعين تشوف اللى هما بيبينوه. فطبعا مش محتاجة اقول ان حجة هى اللى لابسه كدة علشان تتعاكس باطلة. 
الخلاصة ان بجد انا فى الاربع سنين دول عرفت ان المتحرش هو اجبن كائن على وجه الارض. من مجرد بصًه من بنت باحتقار بيسيب المكان وينزل، طب لو هزأته و مسكتلوش برده بيطلع يجرى. محدش يسكت على التحرش، اللى عامل حاجة غلط بيبقى اجبن من انه يدافع عن نفسه. حتى لو محدش هيقف جمبك، انتى لوحدك قادرة على انك تاخدى حقك!!","Comments,Indecent exposure,Ogling,Sexual invites,Touching","30,057569,31,254988",,Man,Above 46,,,Yes,,Did not go to school,,06/11/2013 9:18
1273,Don't rape,06/10/2013 22:51,"Sudan Street, Giza, Egypt",Giza,Giza,Sudan Street,"السلام عليكم ورحمة الله وبركاتة 
جايز اخد من وقتكم شوية , وجايز تكون الشويه دول علي الفاضي لاني ولد ,, بس الحقيقة انكم محددتوش التحرش لازم يكون  للستات عموما او للرجال ,, انا عندي 21 سنة ,, شاب زي اي شاب  تعرضت للاغتصاب في عمر 7 سنين من احد اقربائي , كانوا 3 اشخاص , مش عاوز اطول عليكم , انا  بعاني  من الانحراف الفكري , قصدي يعني   اني مش طبيعي ,  مش بفكر زي الناس ,, مش بعرف احب بنت ,, ونظرا لظروفي المادية  معنديش الامكانيه اني اتعالج, لان الموضوع مكلف ,,, بالمناسبه انا اتعرضت للتحرش اكتر من مرة   واخر مرة كانت امبارح ,, علي الرغم من ان شكلي عادي جدا زي اي حد   كنت في شارع السودان ووقفت تاكس  وكنت رايح وسط البلد , فوجئت ان السواق  بيتحرش بيا ,, بدأ يتكلم الاول بطريقة غير طبيعيه بعد كده بدا باللمس , وقفته عند حده وهددته انه لو منزلنيش انا هنط ,,, الغريب في الموضوع واللي عاوز اوصلوا لحضارتكم ان الموضوع زاد عن  حده وانها وصلت لانهم يتحرشوا حتي بالذكور ,,, صدقوني ياجماعه والله انا شكلي طبيعي جدا  زي اي شاب جايز بس لان شكلي اصغر من سني وبيتهيقلهم اني عندي 14 سنة فا ده اللي بيديهم الجراه , الله اعلم \ووو ارجوكم انا فعلا محتاج مساعدتكم لاني حاسس اني بضيع ,, لو في امكانكم تساعدوني  وتخلوني طبيعي تاني , ارجوكم ساعدنوي ,, انا عارف الموضوع جايز يكون صعب لاني ولد بس ارجوكم , متشكر اوي","Comments,Indecent exposure,Sexual assault,Sexual invites,Touching","30,069293,31,20655",,Man,Above 46,,,Yes,,Did not go to school,,06/10/2013 23:14
1272,تحرش,06/10/2013 13:11,"Cairo, Cairo Governorate, Egypt",Cairo,Cairo,,"وانا راجعة من الكلية ، فى محطة مترو السادات فى واحد اقل ما يقال عنه انه حيوان اتحرش بيا ، لمس جسمى بالقصد .
من غير ما احس بنفسى لقتنى بقوله يا سافل يا حيوان يا اللى معندكش دم ، و كرد فعل تلقائى لقتنى بروح على ظهره بكل قوتى وبضربه ، الناس كلها وقفت تتفرج
اما هو فقالى بكل بجاحة ووقاحه "" اييييه خبطت فيكى بالغلط ""
الراجل استفزنى الحقيقة رحت نزلة بقوة جزمتى كلها على رجله ، مد ايده عليا وكان هيضربنى لولا ان الناس بعدتنى عنه .",Touching,"30,044634,31,235676",,Man,18-24,,,Yes,,Did not go to school,,06/10/2013 17:18
1271,1150269....,06/10/2013 13:32,"Hadaeq Al Qubbah, Cairo Governorate, Egypt",Cairo,Cairo,Hadaeq Al Qubbah,الرقم دا دايما بيتصل وبيبعت رسايل وعارف اسمي، وأحيانا الرسايل بتكون كلها شتيمة,Phone calls,"30,124081,31,268931",Witness,Woman,Under 18,,Under 18,No,Other, Did not go to school,,06/10/2013 14:37
1270,محطة ترام الشاطبي، إسكندرية,06/07/2013 12:10,"Alexandria, Alexandria Governorate, Egypt",Alexandria,Alexandria,محطة ترام الشاطبي، إسكندرية,"كل مرة أروح فيها أركب الترام من المحطة دي أشوف راجل واقف ف عز الضهر عند محطة الترام بيتحرش بالبنات اللي طالعة واللي نازلة
he has a boner and it's always out of his pants!!
معلش معرفش أقول كدة إزاي بالعربي بس كل البنات والستات ياخدوا بالهم. الراجل دة متوسط الطول وأسمر و شعره أسود ناعم وفيه أبيض بسيطز و ساعات بيكون فيه راجل تاني كبير في السن أقرع بس عنده شعر أبيض طويل و خشن على الجنبين وعنده شنب كثيف ودقن طويلة.","Indecent exposure,Ogling,Touching","31,209361,29,917183",,Man,Above 46,,,Yes,,Did not go to school,,06/07/2013 12:23
1269,في هليوبولس,06/05/2013 13:22,heliopolis,Cairo,Cairo,heliopolis,رحت في التاريخ اللي انا حددته عشان اقدم على وظيفة كان معمولها اعلان في الوسيط و الوظيفة هي سكرتيرة في عيادة دكتور عيون في فترة مسائية و قلت بالمرة اعمل عدسات عشان بتاعتي باظت دخاتني ممرضته في الأول قبل معاد الinterview عشان الكشف الدكتور كان شكله كبير في السن عملي الكشف و أول تعليق ليه ليا انه مش عايزني أحط شنطتي على رجلي عشان هو بيتضايق و ما بيبقاش واخد راحته و في آخر الكشف و دي كانت أول مرة تحصللي اني اروح لدكتور و يصر على انه يلبسني العدسات مع اني قلتله ان بعرف البسها و بستعملها من زمان تاني موقف حصل وقت التقديم للوظيفة انه برضة كان مصر اني مخليش الشنطة على رجلي و اني اقرب الكرسي اللي قاعدة عليه لكرسي مكتبه بعدها مابقاش طالب قرب الكرسي بس لأ دا طالب قربي انا شخصيا مني ليه عشان يوريني شغله على الكمبيوتر ومكان مكتبه ضيق و أنا جسمي يعتبر مليان بعدها حصل قبوله ليا على الوظيفة و بلغ الريسبشنت بتوعه عشان يوروني ايه اللي بيتم في الشغل و أصر اني ممشيش من عنده الا لما ادخله تاني عشان يفهمني طبيعة الشغل بنفسهلاقيتني فضلت قاعدة والوقت بيعدي لغايت ما العيادة مابقاش فيها مرضى و فضل فيها اللي شغالين معاه وهو كل دا مخليني معاه عشان يعرفني على طبيعة الشغل و أبدا معاه من تاني يوم وكان من أحد تعريفاته ليا على طبيعة الشغل انه دخلني معاه جزء في العيادة مفيهوش حد و بعيد عن الريسيبشن و مكتبه و قعد يفرجني على نظارات نظر و شمس في المكان دا و برضة كان مصر وهو بيفرجني انه يلبسني النظارات بس انا رفضت بعدها لاقيت ايده بتتمد على ايشاربي و بيحسس على شعري من عليه و حجته ان الايشارب ماكنش مظبوط و بيعدلهولي انا لما لاقيت ان الوضع كدامش ظريف و افعاله بدأت تزيد استأذنتة اني اخرج عشان ماشية لاقيته اول ما قلتله كدا بيقفل الباب بتاع الأوضة اللي احنا فيها واللي في اخر العيادة ومعزولة عنها تماما و بيمسكني و بيحاول يحضني وكان رد فعلي اني بحاول ابعده عني بأي طريقة و بقوله عيب كدا ومايصحش وهو مستمر انه بيحاول يحضني و يبوسني و يهمس في وداني احضنيني احضنيني و بوسنيني بقى وللا انتي باردة وماعندكيش احساس انا وانا بكشف عليكي حسيت بنظرة حزن في عنينيكي و حسيت انك عايزة حد يطبطب عليكي و ياخدك في حضنه انا بريحيك و عايزك اي حاجة جواكي تطلع معايا انا اتصدمت بصراحة من الكلام دا و برضة فضلت مصرة على موقفي اني عايزة امشي و مشكلتي البشعة اللي نفسي اتعالج منها اني مش بعرف اصرخ و بحس لما بتحط في موقف صعب و مفاجيء كدا ان لوح تلج نزل علي و عملي freezingحتى اني اصرخ او ازعق انا عارفة ان موقفي دا غلط بس انا فعلا بكتب جالتي دي و املي ان الدكتور اللي ناس كتير اكيد بتروحله وبتتعامل معاه وفاكرين انه انسان محترم يعرفوا حقيقته لأني ماتمناش لأي حد يتعرض لموقف زي اللي انا اتحطيت فيه وانا كدا كمان شرحت الموقف باختصار من غير تفاصيل بس يااااااااااارب الناس اللي حتقرأه تستفيد منه ويكون عبرة وعظة للبني ادم دا لما مرضاه يعرفوا حقيقته,"Ogling,Sexual invites,Touching","30,096444,31,334596",,Man,Above 46,,,Yes,,Did not go to school,,06/05/2013 18:08
1268,تحرش فى القرية,05/31/2013 21:30,"Al Amiriyyah, Al Amireyah Ash Shamaleyah, El-Zaytoun, Cairo Governorate, Egypt",Cairo,Cairo,"Al Amiriyyah, Al Amireyah Ash Shamaleyah, El-Zaytoun","وانا راجعة من الكنيسة..... ماشية عادى وفى حالى....... واحد قاللى كام كلمة من اياهم..... قمت قررت انى مسكتش.... قمت وقفت وقلتله ممكن تبقى انسان محترم ممكن متعاكسش اى بنت .... الولد اتخض ومتوقعش انى اعمل كدة وقف وبصلى وبعد كدة قعد يشوح وابتدى يبعد.... قمت انا قلتله يا متحرش قامت الناس اتبتدت تتلم وتهدينى.... وقف واحد فى وشى وقعد يقولى عيب صوت فى وشه وقلتله لأ مش عيب لانه قال كلام قذر فيستاهل كل اللى يسمعه...... قام قاللى عيب تانى قلتله لأ مش عيب وبصيت للولد قلتله يا متحرش تانى.... الولد قاللى انتى راجل وبأرف ايوة انا راجل انا ب 100 راجل بس انت مش راجل...............

الواقعة حصلت يوم الجمعة بالليل حوالى 9:30
فى الاميرية محطة دبشة",Comments,"30,107377,31,287327",,Man,Above 46,,,Yes,,Did not go to school,,06/04/2013 20:40
1267,تحرش,06/04/2013 1:26,شارع العائلات مقابل مطعم الجمهورية,,,شارع العائلات مقابل مطعم الجمهورية,اغتصاب جماعي,"Comments,Facial expressions,Sexual invites,Stalking or following,Touching","30,055585,31,235525",,Man,Above 46,,,Yes,,Did not go to school,,06/04/2013 8:29
1266,«ترزي» يُشرع في قتل صاحب محل بسبب معاكسة خطيبته,06/01/2013 13:18,"Imbabah, Al Munirah, Embabah, Giza, Egypt",Giza,Giza,"Imbabah, Al Munirah, Embabah","شرع «ترزي» في قتل صاحب محل «إكسسوارات حريمي»، السبت، بسبب معاكسة المجني عليه لخطيبة المتهم في الشارع.

تلقى اللواء عبد الموجود لطفي، مساعد الوزير لأمن الجيزة، إخطارًا من اللواء محمود فاروق، مدير المباحث، يفيد فيه بإصابة «إسلام. ع»، 23 عامًا، صاحب محل «إكسسوارات حريمي» بطعنة نافذة في الصدر وحالته سيئة، ونقل إلى مستشفى إمبابة لتلقي العلاج.
وتبين أن الجاني هو «بيتر. ل»، 19 عامًا، ترزي، بسبب معاكسة المجني عليه لخطيبة المتهم.

ألقت أجهزة الأمن القبض على المتهم وعلى السلاح المستخدم «سكين»، وبمواجهته أمام العقيد درويش حسين، مفتش المباحث، اعترف بارتكابه الواقعة.","Catcalls,Comments,Facial expressions,Ogling,Stalking or following","30,079505,31,198761",,Man,Above 46,,,Yes,,Did not go to school,,06/02/2013 16:57
1265,مصرع عاطل وإصابة 2 في مشاجرة بدمنهور بسبب معاكسة فتاة,06/01/2013 21:53,"Damanhour, Naqraha, Qism Damanhour, Beheira, Egypt",Beheira,Damnhour,"Naqraha, Qism Damanhour","لقي عاطل من دمنهور مصرعه وأصيب اثنان بطلقات نارية، في مشاجرة بسبب معاكسة فتاة. تم نقل الجثة وأحد المصابين إلى معهد دمنهور الطبي، والمصاب الثاني إلى المستشفى الجامعي بالإسكندرية، وتم تحرير محضر وأخطرت النيابة العامة.

وتلقى اللواء محمد حبيب مدير أمن البحيرة، إخطارا بالحادث من مأمور قسم شرطة دمنهور، وتبين لرجال المباحث أنه أثناء سير أحمد ص. م. (24 عاما - عاطل) وخميس أ. أ. (25 عاما)، وبرفقتهما فتاة، قام ثلاثة أشخاص بمعاكسة الفتاة، وتطور الأمر إلى محاولة الأول إطلاق عيار ناري باتجاههم من سلاح كان بحوزته، وحدثت مشاجرة بين الطرفين، تمكن المتهمون الثلاثة خلالها من خطف السلاح من يده، ما أدى إلى خروج طلقة من السلاح استقرت في رقبة الأول، فيما أصيب صديقه وأحد المتهمين بطلقات نارية.","Catcalls,Comments,Ogling,Stalking or following","31,042383,30,472922",,Man,Above 46,,,Yes,,Did not go to school,,06/02/2013 15:48
1264,تحرش بشارع الهرم,05/27/2013 13:00,"شارع الهرم، Al Omraneyah, Giza, Egypt",Giza,Giza,شارع الهرم، Al Omraneyah,انا كنت راكبة ميكروباص الأسبوع اللي فات من الشيخ زايد للهرم و الكنبة اللي ورايا كان فيها تلاتة صحاب و عمالين يستظرفوا و يضحكوا بصوت عالي و يشتموا و حاجة ف منتهى القررف لدرجة ان سواق الميكروباص نفسه زعقلهم ..أول ما نزلت واحد فيهم مشي ورايا و صحابه وراه بشوية و هو قاعد يستظرف بالكلام و لقيته بيقرب أوووووي مني و كان خلاص هيمد ايده روحت قالعة الجزمة و ضرباة و صحابه هما اللي قعدوا يزئوة عشان يمشي بس طبعا بعد ما خدت كمية شتايم منه ليا و للزمن لأنه مكنش متوقع رد فعلي ده و للأسف مفيش دكر حتي وقف يسألني في ايه ولا يدافع مع العلم أني محجبة و لبسي مش ملفت ولا ضيق للناس اللي هتفتح بقها بالكلام الفارغ ده !! و الكلام ده كان ف شارع الهرم الرئيسي عند مشعل و الساعة 1 الضهر.. كان نفسي أصوره بجد بس للأسف ملحقتش .. ياريت أي واحدة تتعرض للقرف اللي بقينا نشوفه كل يوم ده متسكتش :,"Comments,Ogling,Stalking or following","29,986106,31,139497",,Man,Above 46,,,Yes,,Did not go to school,,05/31/2013 19:34
1263,تحرش في المترو,05/27/2013 10:00,"Giza, Al Omraneyah, Giza, Egypt",Giza,Giza,Al Omraneyah,"المترو هو أكبر تجمع للمتحرشين
 وما أدراك مترو حلوان
حكايتي أنا بركب من فيصل لما ركبت المترو لقيت العربيه سيدات معظمها رجاله وأنا داخله سألت واحده هيا مش دي عربيه سيدات راح راجل رد عليا وقالي بصوت عالي وأنتي مال أهلك مش ركبتي أسكتي بقي وخلاص دا غير طبعا النظرات اللي زي الزفت جت واحده جنبي ست كبيره أسكتي ياحبيبتي وخليكي في حالك أنا قررت أنزل وأركب المترو اللي بعده ووأنا نازله واحد من اللي نازلين حاول التحرش لما حكيت لأهلي في البيت قالولي أسكتي علشان محدش يقف جنبك ودا للأسف اللي بيحصل

الساعه 10 صباحا",Touching,"30,017292,31,203917",,Man,Above 46,,,Yes,,Did not go to school,,05/31/2013 19:20
1262,تحرش بالإسماعيلية,05/27/2013 21:30,"Ismailia, Egypt",Ismailia,Ismailia,,انا حصلى النهارده تحرش في الاسماعيلية، عند مزلقان التلاتينى حوالى الساعة 9 ونص مساءا تقريبا ...فوجئت برجل سنه كبير فى ايده حاجة زى ما سورة كده وبيزقنى من ورا فجأة لقيت نفسى بصوت وادورت وضربته بايدى ضربته بضعف رهيب كدا مش عارفة ليه وكان فى شابين واقفين شافوا اللى حصل راحوا جم شتموه وضربوه كتير قدامى انا محسيتش بنفسى غير وانا عماله امشى وخلاص واعصابى سايبه جدا وبعدين وقفت فى مكان وروحت رجعت تانى شكرتهم جدا على اللى عملوه بجد كتر خيرهم حسيت انى اخدت حقى الولدين دول مسيحين شافوا بنت محجبه بتتعرض لده اول حاجه الحت عليهم انسانيتهم ونخوتهم يدافعوا عنها بجد انا بشكرهم جدا وعايزة اقول لكل واحد مش مدرك التحرش بيعمل فينا ايه انك تتعلم تمشى فى الشارع تبص وراك وجانبك وتبقى عينك فى وسط راسك انك تنسى تحس بالامان فى شوارع بلدك اللى اتربيت فيها واتحفظت جواك احنا بقينا كده ........ شكرا لصفحتكم,"Stalking or following,Touching","30,592348,32,265153",,Man,Above 46,,,Yes,,Did not go to school,,05/31/2013 19:15
1261,تحرش في الدقي,05/27/2013 3:00,"Ibrahim Ahmed, Ad Doqi A, Ad Doqi, Giza, Egypt",Giza,Giza,"Ibrahim Ahmed, Ad Doqi A, Ad Doqi",.I just came home at 3am in a cab and was dropped off at tahrir street in Doqqi where i live and i walked down the side street on Ibrahim Ahmed Mohammed which is literally a ten second walk home from home and when i was approached by a young male from around the corner who said something in arabic to me and i told him to go away and he stepped forward and grabbed my ass then i opened my building door and locked it and pulled out my knife and then he put his hand through an opening in the glass and grabbed my breast and he stood there then went away. i yelled and no one came.luckily i got in and locked the gate and it could have been worse but ive never felt so enraged and violated in my life. i usually walk with my knife or pepperspray and key ready in my hand but tonight i didnt. and this is when things happen.ladies pls do not go home alone late pls ask someone to bring u to ur door and men pls escort women home and everyone pls tell your friends. i am safe and want to prevent this from happening to anyone else. pls try to walk with pepper spray or a knife at night.,"Comments,Stalking or following,Touching","30,040017,31,21606",,Woman,Above 46,,,No,,Did not go to school,,05/31/2013 19:06
1260,موقف عبيط,05/29/2013 17:00,"Autostorad- Al Nasr, Cairo Governorate, Egypt",Cairo,Cairo,Autostorad- Al Nasr,هو انا حصل معايا موقف امبارح عبيط طبعا بالنسبة للى بيحصل مع بنات كتيير بس يستحق بردو كنت راجعة من شغلى الساعة 5 على اوتوستراد اللى رايح المعادى وكنت فى عربيتى وقافلة الشباك بس ده ممنعش سواق نقل انه يفضل يبصبصلى ويقف جنبى كل شوية ويشاور بحركات مش لطيفة حتى بعد ما الطريق مشى بردو فضل يخرج راسه من الشباك عشان يكمل معاكسة الصراحة انا ما صدقت الطريق مشى وطرت عشان لو كنت وقفت مكنتش هﻻقى حد يساعدنى حتى ان الواحدة تكون سايقة وقافلة عربيتها وعلى طريق سريع ده مش بيمنع التحرش,"Comments,Facial expressions,Ogling,Stalking or following","29,984867,31,289259",,Man,Above 46,,,Yes,,Did not go to school,,05/31/2013 18:56
